anno,,Stambecchi,,Stambecchi piccoli,,Camosci
,,M,F,,Tot,
1903,1904,13,26,,39,9
1904,1905,1,3,,4,7
1905,1906,3,11,8,22,12
1906,1907,10,19,,29,42
1907,1908,9,13,,22,19
1908,1909,4,16,,20,19
1909,1910,10,13,,23,17
1910,1911,14,,,14,
1911,1912,15,,,15,
1912,1913,17,,,17,
1913,1914,21,,,21,
1914,1915,16,6,2,24,
1915,1916,17,8,2,27,
1916,1917,28,20,12,60,
1917,1918,30,18,10,58,
1918,1919,20,12,10,42,
